filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2018020708340	10.00384059012712	131.28241923716934	0.030792841406965518	0.02480259412361692	0.05559543553058244	0.12064263400604949	0.01951566298215842	0.01596110626977939	0.03547676925193781	354439520	283436.5394901815	1063180	31045.88095238097	15	17724	1968	3328	13	17101	250	0
2018020708350	10.119582208734723	131.49729148356636	0.030764657798915063	0.025265660994278072	0.05603031879319313	0.11280472667692766	0.022049048819619527	0.014393765757506304	0.03644281457712583	355541396	283048.313937659	1067676	30848.776190476183	16	17723	1951	3324	24	17062	271	0
2018020708360	10.234941041653647	131.71245367667524	0.029316444422453677	0.02602607555478588	0.05534251997723956	0.12048580988970133	0.02138436855374742	0.014783405913362366	0.03616777446710979	352572228	282842.0471532801	1067333	30975.296428571426	15	17723	1929	3361	11	17100	282	0
2018020708370	10.349914946491925	131.9279069083515	0.030033893273298532	0.025704460552683012	0.055738353825981544	0.11993649691166622	0.021683819652967198	0.014715657734888945	0.03639947738785614	358883738	283616.3872771566	1067989	30874.213095238105	15	17723	1936	3353	19	17092	283	0
2018020708380	10.46450177776261	132.14365225266883	0.03099107120773664	0.02592070440998244	0.05691177561771908	0.12095514394108457	0.019995413895895438	0.01648704425590461	0.03648245815180005	353973768	283312.3348257209	1070313	30874.680952380957	15	17720	1955	3317	23	17093	308	0
2018020708390	10.578699386950252	132.3596907657527	0.04866107855500334	0.07702198155428627	0.12568306010928962	0.1539801428322592	0.03126646356827084	0.09125684311794215	0.12252330668621299	278584710	270293.5520543949	1003571	31863.336904761916	1004	16731	3101	2173	667	16456	311	0
2018020708400	10.692505622555288	132.576023485553	0.02990903697844572	0.023531738184694482	0.053440775163140206	0.12542372881355932	0.02070707070707071	0.00980257116620753	0.03050964187327824	354461588	284778.6834606789	1112639	30012.659523809518	15	17719	1806	3445	10	17130	331	0
2018020708410	10.805918330180385	132.79265143170701	0.028513540225340975	0.025103775449693614	0.05361731567503459	0.1239978224289815	0.022716842588343278	0.009958696649839376	0.03267553923818266	344124450	283284.10075473116	1088582	30743.510714285716	15	17691	1799	3485	21	17126	335	0
2018020708420	10.918935352564889	133.0095756053491	0.029724253805099823	0.024140146273967187	0.05386440007906701	0.1182398969889065	0.018989519069788775	0.011512969291103823	0.0305024883608926	348675604	283562.8703393087	1085386	30827.958333333336	15	17719	1816	3438	12	17135	337	0
2018020708430	11.031554529660863	133.22679698890707	0.029897212887922513	0.023843644989128287	0.053740857877050796	0.11653512135982384	0.0208199430722615	0.010100082637039758	0.030920025709301257	345481356	283435.13533909473	1086615	30874.132142857146	15	17722	1812	3439	11	17136	337	0
2018020708440	11.143773698702054	133.4443165459243	0.02808127750037079	0.02392841251792159	0.05200969001829238	0.12030391526010989	0.018969072164948454	0.009942726231386026	0.02891179839633448	346778374	283492.2154439914	1096483	30224.083333333325	13	17727	1722	3495	12	17128	357	0
2018020708450	11.255590694275881	133.66213522093085	0.029329574399683457	0.023122387912060737	0.05245196231174419	0.11587494120850558	0.020356234096692113	0.009536253811062972	0.029892487907755085	342819964	282983.57827012683	1097074	30308.491666666665	15	17722	1728	3496	19	17098	359	0
2018020708460	11.367003348371663	133.88025393917238	0.028928792569659443	0.023009287925696596	0.05193808049535604	0.11306009030913512	0.019773622949317202	0.00937127669324535	0.029144899642562554	345561078	282869.5324136161	1094858	30441.89523809524	14	17723	1697	3484	16	17071	370	0
